Startup Control,Startup Sensor,offset,Control,Raw Sensor,Adjusted Sensor,Difference,Sensor Voltage,Difference Voltage,Contamination Level,Time
36,89,53,37,89,36,-1,0.43,-0.00,NORMAL,07-09-2026 13:47
37,89,52,37,89,37,0,0.43,0.00,NORMAL,07-09-2026 13:50
37,90,53,38,90,37,-1,0.44,-0.00,NORMAL,07-09-2026 13:52
37,90,53,37,90,37,0,0.44,0.00,NORMAL,07-09-2026 13:53
53,54,1,53,54,53,0,0.26,0.00,NORMAL,07-09-2026 16:07
65,66,1,65,66,65,0,0.32,0.00,NORMAL,07-09-2026 16:08
36,38,2,36,38,36,0,0.19,0.00,NORMAL,07-09-2026 16:09
39,40,1,39,40,39,0,0.20,0.00,NORMAL,07-09-2026 16:10
39,41,2,39,41,39,0,0.20,0.00,NORMAL,07-09-2026 16:12
39,42,3,38,42,39,1,0.21,0.00,NORMAL,07-09-2026 16:13
38,41,3,38,42,39,1,0.21,0.00,NORMAL,07-09-2026 16:14
55,57,2,55,57,55,0,0.28,0.00,NORMAL,07-09-2026 16:16
55,57,2,55,57,55,0,0.28,0.00,NORMAL,07-09-2026 16:16
56,59,3,57,59,56,-1,0.29,-0.00,NORMAL,07-09-2026 16:16
58,61,3,58,60,57,-1,0.29,-0.00,NORMAL,07-09-2026 16:17
58,60,2,58,61,59,1,0.30,0.00,NORMAL,07-09-2026 16:17
58,60,2,58,60,58,0,0.29,0.00,NORMAL,07-09-2026 16:17
58,60,2,58,60,58,0,0.29,0.00,NORMAL,07-09-2026 16:17
58,60,2,58,60,58,0,0.29,0.00,NORMAL,07-09-2026 16:17
58,60,2,58,60,58,0,0.29,0.00,NORMAL,07-09-2026 16:18
58,60,2,58,59,57,-1,0.29,-0.00,NORMAL,07-09-2026 16:18
58,60,2,58,60,58,0,0.29,0.00,NORMAL,07-09-2026 16:18
137,189,52,138,445,393,255,2.17,1.24,HIGH,08-09-2026 16:23
137,189,52,138,445,393,255,2.17,1.24,HIGH,08-09-2026 16:23
137,189,52,136,380,347,211,1.85,1.03,MEDIUM,08-09-2026 16:24
137,189,52,134,270,218,84,1.31,0.41,MEDIUM,08-09-2026 16:25
131,172,41,128,170,129,1,0.83,0.00,NORMAL,10-09-2026 18:56
131,172,41,131,344,303,172,1.68,0.84,MEDIUM,10-09-2026 18:56
131,172,41,131,197,156,25,0.96,0.12,NORMAL,10-09-2026 18:57
131,172,41,134,341,300,166,1.67,0.81,MEDIUM,10-09-2026 18:58
131,172,41,132,332,291,159,1.62,0.78,MEDIUM,10-09-2026 18:59
131,172,41,132,311,270,138,1.52,0.67,MEDIUM,10-09-2026 18:59
131,172,41,131,309,268,137,1.51,0.67,MEDIUM,10-09-2026 18:59
131,172,41,131,286,245,114,1.40,0.56,MEDIUM,10-09-2026 18:59
131,172,41,128,208,167,39,1.02,0.19,LOW,10-09-2026 19:00
131,172,41,128,212,171,43,1.04,0.21,LOW,10-09-2026 19:00
